教科書会社,学年,教科,教科書名,改訂年度
東書,1,国語,あたらしい こくご  一上下,2019
東書,2,国語,新しい国語 二上下,2019
東書,3,国語,新しい国語 三上下,2019
東書,4,国語,新しい国語 四上下,2019
東書,5,国語,新しい国語 五,2019
東書,6,国語,新しい国語 六,2019
学図,1,国語,みんなとまなぶ しょうがっこう  こくご  一ねん  上下,2019
学図,2,国語,みんなと学ぶ  小学校  こくご二年  上下,2019
学図,3,国語,みんなと学ぶ  小学校 国語三年  上下,2019
学図,4,国語,みんなと学ぶ  小学校 国語四年  上下,2019
学図,5,国語,みんなと学ぶ  小学校 国語五年  上下,2019
学図,6,国語,みんなと学ぶ  小学校 国語六年  上下,2019
教出,1,国語,ひろがることば しょうがくこくご  一上下,2019
教出,2,国語,ひろがることば小学国語  二上下,2019
教出,3,国語,ひろがる言葉 小学国語  三上下,2019
教出,4,国語,ひろがる言葉 小学国語  四上下,2019
教出,5,国語,ひろがる言葉 小学国語  五上下,2019
教出,6,国語,ひろがる言葉 小学国語  六上下,2019
光村,1,国語,こくご一上下,2019
光村,2,国語,こくご二上下,2019
光村,3,国語,国語三上下,2019
光村,4,国語,国語四上下,2019
光村,5,国語,国語五  銀河,2019
光村,6,国語,国語六  創造,2019
東書,1,書写,あたらしい  しょしゃ  一,2019
東書,2,書写,新しい  しょしゃ  二,2019
東書,3,書写,新しい書写  三,2019
東書,4,書写,新しい書写  四,2019
東書,5,書写,新しい書写  五,2019
東書,6,書写,新しい書写  六,2019
学図,1,書写,"みんなとまなぶ
しょうがっこうしょしゃ  一ねん",2019
学図,2,書写,"みんなと学ぶ
小学校しょしゃ  二年",2019
学図,3,書写,みんなと学ぶ  小学校書写  三年,2019
学図,4,書写,みんなと学ぶ  小学校書写  四年,2019
学図,5,書写,みんなと学ぶ  小学校書写  五年,2019
学図,6,書写,みんなと学ぶ  小学校書写  六年,2019
教出,1,書写,しょうがく  しょしゃ  一ねん,2019
教出,2,書写,小学  しょしゃ  二年,2019
教出,3,書写,小学  書写  三年,2019
教出,4,書写,小学  書写  四年,2019
教出,5,書写,小学  書写  五年,2019
教出,6,書写,小学  書写  六年,2019
光村,1,書写,しょしゃ  一ねん,2019
光村,2,書写,しょしゃ  二年,2019
光村,3,書写,書写  三年,2019
光村,4,書写,書写  四年,2019
光村,5,書写,書写  五年,2019
光村,6,書写,書写  六年,2019
日文,1,書写,しょうがくしょしゃ  一ねん,2019
日文,2,書写,小学しょしゃ  二年,2019
日文,3,書写,小学書写  三年,2019
日文,4,書写,小学書写  四年,2019
日文,5,書写,小学書写  五年,2019
日文,6,書写,小学書写  六年,2019
東書,3,社会,新しい社会３,2019
東書,4,社会,新しい社会４,2019
東書,5,社会,新しい社会５  上下,2019
東書,6,社会,新しい社会６  政治・国際編+歴史編,2019
教出,3,社会,小学社会３,2019
教出,4,社会,小学社会４,2019
