abbreviation,comp_name
日書,日本書籍(株)
東書,東京書籍(株)
大書,大阪書籍(株)
大日本,大日本図書(株)
中数,中教出版(株)
教図,教育図書(株)
実教,実教出版(株)
開隆堂,開隆堂出版(株)
学図,学校図書(株)
三省堂,(株)三省堂
教出,教育出版(株)
開拓,(株)開拓社
信教,(社)信濃教育会出版部
教芸,(株)教育芸術社
清水,(株)清水書院
光村,光村図書出版(株)
帝国,(株)帝国書院
大修館,(株)大修館書店
啓林館,(株)新興出版社啓林館
山川,(株)山川出版社
教図研,(株)教育図書研究会
友社,(株)音楽之友社
数研,数研出版(株)
文英堂,(株)文英堂
池田,(有)池田書店
一橋,一橋出版(株)
綜文館,(株)綜文館
日文,日本文教出版(株)
明治,(株)明治書院
二宮,(株)二宮書店
右文,(株)右文書院
筑摩,(株)筑摩書房
暁,暁出版(株)
修文,修文館出版(株)
角川,(株)角川書店
オーム,(株)オーム社
旺文社,(株)旺文社
コロナ,(株)コロナ社
尚学,(株)尚学図書
増進堂,(株)増進堂
文協,(社)農山漁村文化協会
電機大,学校法人東京電機大学
東点,社会福祉法人東京点字出版所
ライト,社会福祉法人日本ライトハウス
第一,(株)第一学習社
東学,(株)東京学習出版社
教図出,教育図書出版社
日栄社,(株)日栄社
ヘレン,社会福祉法人東京ヘレン･ケラー協会
学研,(株)学習研究社
現美,(株)現代美術社
海文堂,海文堂出版(株)
メヂカル,(株)メヂカルフレンド社
三友,三友社出版(株)
文教社,(株)文教社
光文,(株)光文書院
大原,大原出版(株)
知出,知研出版(株)
桐原,(株)桐原書店
秀文館,(株)秀文館
扶桑社,(株)扶桑社
視援センター,社会福祉法人視覚障害者支援総合センター
日点,社会福祉法人日本点字図書館
京書,（株）京都書房
中規,中央法規出版（株）
スクリ,（株）スクリーンプレイ
明成社,（株）明成社
日新,（株）日本書籍新社
株中教,（株）中教
